,#,Pokémon,Type,HP,ATK,DEF,Sp.ATK,Sp.DEF,SPD,Total,URLs
209,167,Spinarak,"['Bug', 'Poison']",40,60,40,40,40,30,250,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png
210,168,Ariados,"['Bug', 'Poison']",70,90,70,60,70,40,400,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png
211,169,Crobat,"['Poison', 'Flying']",85,90,80,70,80,130,535,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png
212,170,Chinchou,"['Water', 'Electric']",75,38,38,56,56,67,330,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png
213,171,Lanturn,"['Water', 'Electric']",125,58,58,76,76,67,460,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png
214,172,Pichu,['Electric'],20,40,15,35,35,60,205,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png
215,173,Cleffa,['Fairy'],50,25,28,45,55,15,218,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png
216,174,Igglybuff,"['Normal', 'Fairy']",90,30,15,40,20,15,210,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png
217,175,Togepi,['Fairy'],35,20,65,40,65,20,245,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png
218,176,Togetic,"['Fairy', 'Flying']",55,40,85,80,105,40,405,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png
219,177,Natu,"['Psychic', 'Flying']",40,50,45,70,45,70,320,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png
220,178,Xatu,"['Psychic', 'Flying']",65,75,70,95,70,95,470,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png
221,179,Mareep,['Electric'],55,40,40,65,45,35,280,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png
222,180,Flaaffy,['Electric'],70,55,55,80,60,45,365,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png
223,181,Ampharos,['Electric'],90,75,85,115,90,55,510,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png
224,181,Mega Ampharos,"['Electric', 'Dragon']",90,95,105,165,110,45,610,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png
225,182,Bellossom,['Grass'],75,80,95,90,100,50,490,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png
226,183,Marill,"['Water', 'Fairy']",70,20,50,20,50,40,250,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png
227,184,Azumarill,"['Water', 'Fairy']",100,50,80,60,80,50,420,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png
228,185,Sudowoodo,['Rock'],70,100,115,30,65,30,410,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png
229,186,Politoed,['Water'],90,75,75,90,100,70,500,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png
230,187,Hoppip,"['Grass', 'Flying']",35,35,40,35,55,50,250,https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png
231,188,Skiploom,"['Grass', 'Flying']",55,45,50,45,65,80,340,https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png
232,189,Jumpluff,"['Grass', 'Flying']",75,55,70,55,95,110,460,https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png
233,190,Aipom,['Normal'],55,70,55,40,55,85,360,https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png
234,191,Sunkern,['Grass'],30,30,30,30,30,30,180,https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png
235,192,Sunflora,['Grass'],75,75,55,105,85,30,425,https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png
236,193,Yanma,"['Bug', 'Flying']",65,65,45,75,45,95,390,https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png
237,194,Wooper,"['Water', 'Ground']",55,45,45,25,25,15,210,https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png
238,195,Quagsire,"['Water', 'Ground']",95,85,85,65,65,35,430,https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png
239,196,Espeon,['Psychic'],65,65,60,130,95,110,525,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png
240,197,Umbreon,['Dark'],95,65,110,60,130,65,525,https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png
241,198,Murkrow,"['Dark', 'Flying']",60,85,42,85,42,91,405,https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png
242,199,Slowking,"['Water', 'Psychic']",95,75,80,100,110,30,490,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png
243,200,Misdreavus,['Ghost'],60,60,60,85,85,85,435,https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png
244,201,Unown,['Psychic'],48,72,48,72,48,48,336,https://img.pokemondb.net/sprites/sword-shield/icon/unown.png
245,202,Wobbuffet,['Psychic'],190,33,58,33,58,33,405,https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png
246,203,Girafarig,"['Normal', 'Psychic']",70,80,65,90,65,85,455,https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png
247,204,Pineco,['Bug'],50,65,90,35,35,15,290,https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png
248,205,Forretress,"['Bug', 'Steel']",75,90,140,60,60,40,465,https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png
249,206,Dunsparce,['Normal'],100,70,70,65,65,45,415,https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png
250,207,Gligar,"['Ground', 'Flying']",65,75,105,35,65,85,430,https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png
251,208,Steelix,"['Steel', 'Ground']",75,85,200,55,65,30,510,https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png
252,208,Mega Steelix,"['Steel', 'Ground']",75,125,230,55,95,30,610,https://img.pokemondb.net/sprites/sword-shield/icon/steelix-mega.png
253,209,Snubbull,['Fairy'],60,80,50,40,40,30,300,https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png
254,210,Granbull,['Fairy'],90,120,75,60,60,45,450,https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png
255,211,Qwilfish,"['Water', 'Poison']",65,95,85,55,55,85,440,https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png
256,212,Scizor,"['Bug', 'Steel']",70,130,100,55,80,65,500,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png
257,212,Mega Scizor,"['Bug', 'Steel']",70,150,140,65,100,75,600,https://img.pokemondb.net/sprites/sword-shield/icon/scizor-mega.png
258,213,Shuckle,"['Bug', 'Rock']",20,10,230,10,230,5,505,https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png
259,214,Heracross,"['Bug', 'Fighting']",80,125,75,40,95,85,500,https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png
260,214,Mega Heracross,"['Bug', 'Fighting']",80,185,115,40,105,75,600,https://img.pokemondb.net/sprites/sword-shield/icon/heracross-mega.png
261,215,Sneasel,"['Dark', 'Ice']",55,95,55,35,75,115,430,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png
262,216,Teddiursa,['Normal'],60,80,50,50,50,40,330,https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png
263,217,Ursaring,['Normal'],90,130,75,75,75,55,500,https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png
264,218,Slugma,['Fire'],40,40,40,70,40,20,250,https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png
265,219,Magcargo,"['Fire', 'Rock']",60,50,120,90,80,30,430,https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png
266,220,Swinub,"['Ice', 'Ground']",50,50,40,30,30,50,250,https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png
267,221,Piloswine,"['Ice', 'Ground']",100,100,80,60,60,50,450,https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png
268,222,Corsola,"['Water', 'Rock']",65,55,95,65,95,35,410,https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png
269,222,Galarian Corsola,['Ghost'],60,55,100,65,100,30,410,https://img.pokemondb.net/sprites/sword-shield/icon/corsola-galarian.png
270,223,Remoraid,['Water'],35,65,35,65,35,65,300,https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png
271,224,Octillery,['Water'],75,105,75,105,75,45,480,https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png
272,225,Delibird,"['Ice', 'Flying']",45,55,45,65,45,75,330,https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png
273,226,Mantine,"['Water', 'Flying']",85,40,70,80,140,70,485,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png
274,227,Skarmory,"['Steel', 'Flying']",65,80,140,40,70,70,465,https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png
275,228,Houndour,"['Dark', 'Fire']",45,60,30,80,50,65,330,https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png
276,229,Houndoom,"['Dark', 'Fire']",75,90,50,110,80,95,500,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom.png
277,229,Mega Houndoom,"['Dark', 'Fire']",75,90,90,140,90,115,600,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom-mega.png
278,230,Kingdra,"['Water', 'Dragon']",75,95,95,95,95,85,540,https://img.pokemondb.net/sprites/sword-shield/icon/kingdra.png
279,231,Phanpy,['Ground'],90,60,60,40,40,40,330,https://img.pokemondb.net/sprites/sword-shield/icon/phanpy.png
280,232,Donphan,['Ground'],90,120,120,60,60,50,500,https://img.pokemondb.net/sprites/sword-shield/icon/donphan.png
281,233,Porygon2,['Normal'],85,80,90,105,95,60,515,https://img.pokemondb.net/sprites/sword-shield/icon/porygon2.png
282,234,Stantler,['Normal'],73,95,62,85,65,85,465,https://img.pokemondb.net/sprites/sword-shield/icon/stantler.png
283,235,Smeargle,['Normal'],55,20,35,20,45,75,250,https://img.pokemondb.net/sprites/sword-shield/icon/smeargle.png
284,236,Tyrogue,['Fighting'],35,35,35,35,35,35,210,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png
285,237,Hitmontop,['Fighting'],50,95,95,35,110,70,455,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png
286,238,Smoochum,"['Ice', 'Psychic']",45,30,15,85,65,65,305,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png
287,239,Elekid,['Electric'],45,63,37,65,55,95,360,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png
288,240,Magby,['Fire'],45,75,37,70,55,83,365,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png
289,241,Miltank,['Normal'],95,80,105,40,70,100,490,https://img.pokemondb.net/sprites/sword-shield/icon/miltank.png
290,242,Blissey,['Normal'],255,10,10,75,135,55,540,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png
291,243,Raikou,['Electric'],90,85,75,115,100,115,580,https://img.pokemondb.net/sprites/sword-shield/icon/raikou.png
292,244,Entei,['Fire'],115,115,85,90,75,100,580,https://img.pokemondb.net/sprites/sword-shield/icon/entei.png
293,245,Suicune,['Water'],100,75,115,90,115,85,580,https://img.pokemondb.net/sprites/sword-shield/icon/suicune.png
294,246,Larvitar,"['Rock', 'Ground']",50,64,50,45,50,41,300,https://img.pokemondb.net/sprites/sword-shield/icon/larvitar.png
295,247,Pupitar,"['Rock', 'Ground']",70,84,70,65,70,51,410,https://img.pokemondb.net/sprites/sword-shield/icon/pupitar.png
296,248,Tyranitar,"['Rock', 'Dark']",100,134,110,95,100,61,600,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png
297,248,Mega Tyranitar,"['Rock', 'Dark']",100,164,150,95,120,71,700,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar-mega.png
298,249,Lugia,"['Psychic', 'Flying']",106,90,130,90,154,110,680,https://img.pokemondb.net/sprites/sword-shield/icon/lugia.png
299,250,Ho-oh,"['Fire', 'Flying']",106,130,90,110,154,90,680,https://img.pokemondb.net/sprites/sword-shield/icon/ho-oh.png
300,251,Celebi,"['Psychic', 'Grass']",100,100,100,100,100,100,600,https://img.pokemondb.net/sprites/sword-shield/icon/celebi.png
301,252,Treecko,['Grass'],40,45,35,65,55,70,310,https://img.pokemondb.net/sprites/sword-shield/icon/treecko.png
302,253,Grovyle,['Grass'],50,65,45,85,65,95,405,https://img.pokemondb.net/sprites/sword-shield/icon/grovyle.png
303,254,Sceptile,['Grass'],70,85,65,105,85,120,530,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png
304,254,Mega Sceptile,"['Grass', 'Dragon']",70,110,75,145,85,145,630,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile-mega.png
305,255,Torchic,['Fire'],45,60,40,70,50,45,310,https://img.pokemondb.net/sprites/sword-shield/icon/torchic.png
306,256,Combusken,"['Fire', 'Fighting']",60,85,60,85,60,55,405,https://img.pokemondb.net/sprites/sword-shield/icon/combusken.png
307,257,Blaziken,"['Fire', 'Fighting']",80,120,70,110,70,80,530,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png
308,257,Mega Blaziken,"['Fire', 'Fighting']",80,160,80,130,80,100,630,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken-mega.png
309,258,Mudkip,['Water'],50,70,50,50,50,40,310,https://img.pokemondb.net/sprites/sword-shield/icon/mudkip.png
310,259,Marshtomp,"['Water', 'Ground']",70,85,70,60,70,50,405,https://img.pokemondb.net/sprites/sword-shield/icon/marshtomp.png
311,260,Swampert,"['Water', 'Ground']",100,110,90,85,90,60,535,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png
312,260,Mega Swampert,"['Water', 'Ground']",100,150,110,95,110,70,635,https://img.pokemondb.net/sprites/sword-shield/icon/swampert-mega.png
313,261,Poochyena,['Dark'],35,55,35,30,30,35,220,https://img.pokemondb.net/sprites/sword-shield/icon/poochyena.png
314,262,Mightyena,['Dark'],70,90,70,60,60,70,420,https://img.pokemondb.net/sprites/sword-shield/icon/mightyena.png
315,263,Zigzagoon,['Normal'],38,30,41,30,41,60,240,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon.png
316,263,Galarian Zigzagoon,"['Dark', 'Normal']",38,30,41,30,41,60,240,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon-galarian.png
317,264,Linoone,['Normal'],78,70,61,50,61,100,420,https://img.pokemondb.net/sprites/sword-shield/icon/linoone.png
318,264,Galarian Linoone,"['Dark', 'Normal']",78,70,61,50,61,100,420,https://img.pokemondb.net/sprites/sword-shield/icon/linoone-galarian.png
319,265,Wurmple,['Bug'],45,45,35,20,30,20,195,https://img.pokemondb.net/sprites/sword-shield/icon/wurmple.png
320,266,Silcoon,['Bug'],50,35,55,25,25,15,205,https://img.pokemondb.net/sprites/sword-shield/icon/silcoon.png
321,267,Beautifly,"['Bug', 'Flying']",60,70,50,100,50,65,395,https://img.pokemondb.net/sprites/sword-shield/icon/beautifly.png
322,268,Cascoon,['Bug'],50,35,55,25,25,15,205,https://img.pokemondb.net/sprites/sword-shield/icon/cascoon.png
323,269,Dustox,"['Bug', 'Poison']",60,50,70,50,90,65,385,https://img.pokemondb.net/sprites/sword-shield/icon/dustox.png
324,270,Lotad,"['Water', 'Grass']",40,30,30,40,50,30,220,https://img.pokemondb.net/sprites/sword-shield/icon/lotad.png
325,271,Lombre,"['Water', 'Grass']",60,50,50,60,70,50,340,https://img.pokemondb.net/sprites/sword-shield/icon/lombre.png
326,272,Ludicolo,"['Water', 'Grass']",80,70,70,90,100,70,480,https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png
327,273,Seedot,['Grass'],40,40,50,30,30,30,220,https://img.pokemondb.net/sprites/sword-shield/icon/seedot.png
328,274,Nuzleaf,"['Grass', 'Dark']",70,70,40,60,40,60,340,https://img.pokemondb.net/sprites/sword-shield/icon/nuzleaf.png
329,275,Shiftry,"['Grass', 'Dark']",90,100,60,90,60,80,480,https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png
330,276,Taillow,"['Normal', 'Flying']",40,55,30,30,30,85,270,https://img.pokemondb.net/sprites/sword-shield/icon/taillow.png
331,277,Swellow,"['Normal', 'Flying']",60,85,60,75,50,125,455,https://img.pokemondb.net/sprites/sword-shield/icon/swellow.png
332,278,Wingull,"['Water', 'Flying']",40,30,30,55,30,85,270,https://img.pokemondb.net/sprites/sword-shield/icon/wingull.png
333,279,Pelipper,"['Water', 'Flying']",60,50,100,95,70,65,440,https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png
334,280,Ralts,"['Psychic', 'Fairy']",28,25,25,45,35,40,198,https://img.pokemondb.net/sprites/sword-shield/icon/ralts.png
335,281,Kirlia,"['Psychic', 'Fairy']",38,35,35,65,55,50,278,https://img.pokemondb.net/sprites/sword-shield/icon/kirlia.png
336,282,Gardevoir,"['Psychic', 'Fairy']",68,65,65,125,115,80,518,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir.png
337,282,Mega Gardevoir,"['Psychic', 'Fairy']",68,85,65,165,135,100,618,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir-mega.png
338,283,Surskit,"['Bug', 'Water']",40,30,32,50,52,65,269,https://img.pokemondb.net/sprites/sword-shield/icon/surskit.png
339,284,Masquerain,"['Bug', 'Flying']",70,60,62,100,82,80,454,https://img.pokemondb.net/sprites/sword-shield/icon/masquerain.png
340,285,Shroomish,['Grass'],60,40,60,40,60,35,295,https://img.pokemondb.net/sprites/sword-shield/icon/shroomish.png
341,286,Breloom,"['Grass', 'Fighting']",60,130,80,60,60,70,460,https://img.pokemondb.net/sprites/sword-shield/icon/breloom.png
342,287,Slakoth,['Normal'],60,60,60,35,35,30,280,https://img.pokemondb.net/sprites/sword-shield/icon/slakoth.png
343,288,Vigoroth,['Normal'],80,80,80,55,55,90,440,https://img.pokemondb.net/sprites/sword-shield/icon/vigoroth.png
344,289,Slaking,['Normal'],150,160,100,95,65,100,670,https://img.pokemondb.net/sprites/sword-shield/icon/slaking.png
345,290,Nincada,"['Bug', 'Ground']",31,45,90,30,30,40,266,https://img.pokemondb.net/sprites/sword-shield/icon/nincada.png
346,291,Ninjask,"['Bug', 'Flying']",61,90,45,50,50,160,456,https://img.pokemondb.net/sprites/sword-shield/icon/ninjask.png
347,292,Shedinja,"['Bug', 'Ghost']",1,90,45,30,30,40,236,https://img.pokemondb.net/sprites/sword-shield/icon/shedinja.png
348,293,Whismur,['Normal'],64,51,23,51,23,28,240,https://img.pokemondb.net/sprites/sword-shield/icon/whismur.png
349,294,Loudred,['Normal'],84,71,43,71,43,48,360,https://img.pokemondb.net/sprites/sword-shield/icon/loudred.png
350,295,Exploud,['Normal'],104,91,63,91,73,68,490,https://img.pokemondb.net/sprites/sword-shield/icon/exploud.png
351,296,Makuhita,['Fighting'],72,60,30,20,30,25,237,https://img.pokemondb.net/sprites/sword-shield/icon/makuhita.png
352,297,Hariyama,['Fighting'],144,120,60,40,60,50,474,https://img.pokemondb.net/sprites/sword-shield/icon/hariyama.png
353,298,Azurill,"['Normal', 'Fairy']",50,20,40,20,40,20,190,https://img.pokemondb.net/sprites/sword-shield/icon/azurill.png
354,299,Nosepass,['Rock'],30,45,135,45,90,30,375,https://img.pokemondb.net/sprites/sword-shield/icon/nosepass.png
355,300,Skitty,['Normal'],50,45,45,35,35,50,260,https://img.pokemondb.net/sprites/sword-shield/icon/skitty.png
356,301,Delcatty,['Normal'],70,65,65,55,55,90,400,https://img.pokemondb.net/sprites/sword-shield/icon/delcatty.png
357,302,Sableye,"['Dark', 'Ghost']",50,75,75,65,65,50,380,https://img.pokemondb.net/sprites/sword-shield/icon/sableye.png
358,302,Mega Sableye,"['Dark', 'Ghost']",50,85,125,85,115,20,480,https://img.pokemondb.net/sprites/sword-shield/icon/sableye-mega.png
359,303,Mawile,"['Steel', 'Fairy']",50,85,85,55,55,50,380,https://img.pokemondb.net/sprites/sword-shield/icon/mawile.png
360,303,Mega Mawile,"['Steel', 'Fairy']",50,105,125,55,95,50,480,https://img.pokemondb.net/sprites/sword-shield/icon/mawile-mega.png
361,304,Aron,"['Steel', 'Rock']",50,70,100,40,40,30,330,https://img.pokemondb.net/sprites/sword-shield/icon/aron.png
362,305,Lairon,"['Steel', 'Rock']",60,90,140,50,50,40,430,https://img.pokemondb.net/sprites/sword-shield/icon/lairon.png
363,306,Aggron,"['Steel', 'Rock']",70,110,180,60,60,50,530,https://img.pokemondb.net/sprites/sword-shield/icon/aggron.png
364,306,Mega Aggron,['Steel'],70,140,230,60,80,50,630,https://img.pokemondb.net/sprites/sword-shield/icon/aggron-mega.png
365,307,Meditite,"['Fighting', 'Psychic']",30,40,55,40,55,60,280,https://img.pokemondb.net/sprites/sword-shield/icon/meditite.png
366,308,Medicham,"['Fighting', 'Psychic']",60,60,75,60,75,80,410,https://img.pokemondb.net/sprites/sword-shield/icon/medicham.png
367,308,Mega Medicham,"['Fighting', 'Psychic']",60,100,85,80,85,100,510,https://img.pokemondb.net/sprites/sword-shield/icon/medicham-mega.png
368,309,Electrike,['Electric'],40,45,40,65,40,65,295,https://img.pokemondb.net/sprites/sword-shield/icon/electrike.png
369,310,Manectric,['Electric'],70,75,60,105,60,105,475,https://img.pokemondb.net/sprites/sword-shield/icon/manectric.png
370,310,Mega Manectric,['Electric'],70,75,80,135,80,135,575,https://img.pokemondb.net/sprites/sword-shield/icon/manectric-mega.png
371,311,Plusle,['Electric'],60,50,40,85,75,95,405,https://img.pokemondb.net/sprites/sword-shield/icon/plusle.png
372,312,Minun,['Electric'],60,40,50,75,85,95,405,https://img.pokemondb.net/sprites/sword-shield/icon/minun.png
373,313,Volbeat,['Bug'],65,73,75,47,85,85,430,https://img.pokemondb.net/sprites/sword-shield/icon/volbeat.png
374,314,Illumise,['Bug'],65,47,75,73,85,85,430,https://img.pokemondb.net/sprites/sword-shield/icon/illumise.png
375,315,Roselia,"['Grass', 'Poison']",50,60,45,100,80,65,400,https://img.pokemondb.net/sprites/sword-shield/icon/roselia.png
376,316,Gulpin,['Poison'],70,43,53,43,53,40,302,https://img.pokemondb.net/sprites/sword-shield/icon/gulpin.png
377,317,Swalot,['Poison'],100,73,83,73,83,55,467,https://img.pokemondb.net/sprites/sword-shield/icon/swalot.png
378,318,Carvanha,"['Water', 'Dark']",45,90,20,65,20,65,305,https://img.pokemondb.net/sprites/sword-shield/icon/carvanha.png
379,319,Sharpedo,"['Water', 'Dark']",70,120,40,95,40,95,460,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo.png
380,319,Mega Sharpedo,"['Water', 'Dark']",70,140,70,110,65,105,560,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo-mega.png
381,320,Wailmer,['Water'],130,70,35,70,35,60,400,https://img.pokemondb.net/sprites/sword-shield/icon/wailmer.png
382,321,Wailord,['Water'],170,90,45,90,45,60,500,https://img.pokemondb.net/sprites/sword-shield/icon/wailord.png
383,322,Numel,"['Fire', 'Ground']",60,60,40,65,45,35,305,https://img.pokemondb.net/sprites/sword-shield/icon/numel.png
384,323,Camerupt,"['Fire', 'Ground']",70,100,70,105,75,40,460,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt.png
385,323,Mega Camerupt,"['Fire', 'Ground']",70,120,100,145,105,20,560,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt-mega.png
386,324,Torkoal,['Fire'],70,85,140,85,70,20,470,https://img.pokemondb.net/sprites/sword-shield/icon/torkoal.png
387,325,Spoink,['Psychic'],60,25,35,70,80,60,330,https://img.pokemondb.net/sprites/sword-shield/icon/spoink.png
388,326,Grumpig,['Psychic'],80,45,65,90,110,80,470,https://img.pokemondb.net/sprites/sword-shield/icon/grumpig.png
389,327,Spinda,['Normal'],60,60,60,60,60,60,360,https://img.pokemondb.net/sprites/sword-shield/icon/spinda.png
390,328,Trapinch,['Ground'],45,100,45,45,45,10,290,https://img.pokemondb.net/sprites/sword-shield/icon/trapinch.png
391,329,Vibrava,"['Ground', 'Dragon']",50,70,50,50,50,70,340,https://img.pokemondb.net/sprites/sword-shield/icon/vibrava.png
392,330,Flygon,"['Ground', 'Dragon']",80,100,80,80,80,100,520,https://img.pokemondb.net/sprites/sword-shield/icon/flygon.png
393,331,Cacnea,['Grass'],50,85,40,85,40,35,335,https://img.pokemondb.net/sprites/sword-shield/icon/cacnea.png
394,332,Cacturne,"['Grass', 'Dark']",70,115,60,115,60,55,475,https://img.pokemondb.net/sprites/sword-shield/icon/cacturne.png
395,333,Swablu,"['Normal', 'Flying']",45,40,60,40,75,50,310,https://img.pokemondb.net/sprites/sword-shield/icon/swablu.png
396,334,Altaria,"['Dragon', 'Flying']",75,70,90,70,105,80,490,https://img.pokemondb.net/sprites/sword-shield/icon/altaria.png
397,334,Mega Altaria,"['Dragon', 'Fairy']",75,110,110,110,105,80,590,https://img.pokemondb.net/sprites/sword-shield/icon/altaria-mega.png
398,335,Zangoose,['Normal'],73,115,60,60,60,90,458,https://img.pokemondb.net/sprites/sword-shield/icon/zangoose.png
399,336,Seviper,['Poison'],73,100,60,100,60,65,458,https://img.pokemondb.net/sprites/sword-shield/icon/seviper.png
400,337,Lunatone,"['Rock', 'Psychic']",90,55,65,95,85,70,460,https://img.pokemondb.net/sprites/sword-shield/icon/lunatone.png
401,338,Solrock,"['Rock', 'Psychic']",90,95,85,55,65,70,460,https://img.pokemondb.net/sprites/sword-shield/icon/solrock.png
402,339,Barboach,"['Water', 'Ground']",50,48,43,46,41,60,288,https://img.pokemondb.net/sprites/sword-shield/icon/barboach.png
403,340,Whiscash,"['Water', 'Ground']",110,78,73,76,71,60,468,https://img.pokemondb.net/sprites/sword-shield/icon/whiscash.png
404,341,Corphish,['Water'],43,80,65,50,35,35,308,https://img.pokemondb.net/sprites/sword-shield/icon/corphish.png
405,342,Crawdaunt,"['Water', 'Dark']",63,120,85,90,55,55,468,https://img.pokemondb.net/sprites/sword-shield/icon/crawdaunt.png
406,343,Baltoy,"['Ground', 'Psychic']",40,40,55,40,70,55,300,https://img.pokemondb.net/sprites/sword-shield/icon/baltoy.png
407,344,Claydol,"['Ground', 'Psychic']",60,70,105,70,120,75,500,https://img.pokemondb.net/sprites/sword-shield/icon/claydol.png
408,345,Lileep,"['Rock', 'Grass']",66,41,77,61,87,23,355,https://img.pokemondb.net/sprites/sword-shield/icon/lileep.png
409,346,Cradily,"['Rock', 'Grass']",86,81,97,81,107,43,495,https://img.pokemondb.net/sprites/sword-shield/icon/cradily.png
410,347,Anorith,"['Rock', 'Bug']",45,95,50,40,50,75,355,https://img.pokemondb.net/sprites/sword-shield/icon/anorith.png
411,348,Armaldo,"['Rock', 'Bug']",75,125,100,70,80,45,495,https://img.pokemondb.net/sprites/sword-shield/icon/armaldo.png
412,349,Feebas,['Water'],20,15,20,10,55,80,200,https://img.pokemondb.net/sprites/sword-shield/icon/feebas.png
413,350,Milotic,['Water'],95,60,79,100,125,81,540,https://img.pokemondb.net/sprites/sword-shield/icon/milotic.png
414,351,Castform,['Normal'],70,70,70,70,70,70,420,https://img.pokemondb.net/sprites/sword-shield/icon/castform.png
415,351,Sunny Form,['Fire'],70,70,70,70,70,70,420,https://img.pokemondb.net/sprites/sword-shield/icon/castform-sunny.png
416,351,Rainy Form,['Water'],70,70,70,70,70,70,420,https://img.pokemondb.net/sprites/sword-shield/icon/castform-rainy.png
417,351,Snowy Form,['Ice'],70,70,70,70,70,70,420,https://img.pokemondb.net/sprites/sword-shield/icon/castform-snowy.png
418,352,Kecleon,['Normal'],60,90,70,60,120,40,440,https://img.pokemondb.net/sprites/sword-shield/icon/kecleon.png
419,353,Shuppet,['Ghost'],44,75,35,63,33,45,295,https://img.pokemondb.net/sprites/sword-shield/icon/shuppet.png
